ZipCode,State,TaxRegionName,CombinedRate
36013,AL,PIKE ROAD PJ,0.07625
36015,AL,BUTLER COUNTY,0.055
36016,AL,BARBOUR COUNTY,0.055
36017,AL,CLIO,0.095
36020,AL,COOSADA,0.085
36022,AL,ELMORE COUNTY,0.05
36024,AL,ELMORE COUNTY,0.05
36025,AL,ELMORE PJ,0.065
36026,AL,ELMORE COUNTY,0.05
36027,AL,EUFAULA,0.095
36028,AL,COVINGTON COUNTY,0.06
36029,AL,BULLOCK COUNTY,0.065
36030,AL,BUTLER COUNTY,0.055
36031,AL,MACON COUNTY,0.05
36032,AL,FORT DEPOSIT,0.105
36033,AL,GEORGIANA,0.095
36034,AL,PIKE COUNTY,0.06
36035,AL,PIKE COUNTY,0.06
36036,AL,MONTGOMERY COUNTY,0.065
36037,AL,BUTLER COUNTY,0.055
36038,AL,GANTT,0.08
36039,AL,MACON COUNTY,0.05
36040,AL,LOWNDES COUNTY,0.08
36041,AL,CRENSHAW COUNTY,0.075
36042,AL,CRENSHAW COUNTY,0.075
36043,AL,LOWNDES COUNTY,0.08
36046,AL,CRENSHAW COUNTY,0.075
36047,AL,LOWNDES COUNTY,0.08
36048,AL,BARBOUR COUNTY,0.055
36049,AL,LUVERNE,0.1
36051,AL,AUTAUGA COUNTY,0.06
36052,AL,PIKE ROAD PJ,0.07625
36053,AL,BULLOCK COUNTY,0.065
36054,AL,MILLBROOK,0.085
36057,AL,PIKE ROAD,0.0875
36064,AL,PIKE ROAD PJ,0.07625
36065,AL,MONTGOMERY COUNTY,0.065
36066,AL,PRATTVILLE (AUTAUGA CO),0.095
36067,AL,PRATTVILLE (AUTAUGA CO),0.095
36068,AL,PRATTVILLE (AUTAUGA CO),0.095
36069,AL,MONTGOMERY COUNTY,0.065
36071,AL,CRENSHAW COUNTY,0.075
36072,AL,EUFAULA,0.095
36075,AL,SHORTER PJ,0.075
36078,AL,ELMORE COUNTY,0.05
36079,AL,TROY,0.09
36080,AL,ELMORE COUNTY,0.05
36081,AL,TROY,0.09
36082,AL,TROY,0.09
36083,AL,TUSKEGEE,0.1
36087,AL,TUSKEGEE,0.1
36088,AL,TUSKEGEE,0.1
36089,AL,UNION SPRINGS,0.1
36091,AL,CHILTON COUNTY,0.06
36092,AL,WETUMPKA PJ,0.065
36093,AL,ELMORE COUNTY,0.05
36101,AL,MONTGOMERY,0.1
36102,AL,MONTGOMERY,0.1
36103,AL,MONTGOMERY,0.1
36104,AL,MONTGOMERY,0.1
36105,AL,MONTGOMERY,0.1
36106,AL,MONTGOMERY,0.1
36107,AL,MONTGOMERY,0.1
36108,AL,MONTGOMERY,0.1
36109,AL,MONTGOMERY,0.1
36110,AL,MONTGOMERY,0.1
36111,AL,MONTGOMERY,0.1
36112,AL,MONTGOMERY,0.1
36113,AL,MONTGOMERY,0.1
36114,AL,MONTGOMERY,0.1
36115,AL,MONTGOMERY,0.1
36116,AL,MONTGOMERY,0.1
36117,AL,MONTGOMERY,0.1
36118,AL,MONTGOMERY,0.1
36119,AL,MONTGOMERY,0.1
36120,AL,MONTGOMERY,0.1
36121,AL,MONTGOMERY,0.1
36123,AL,MONTGOMERY,0.1
36124,AL,MONTGOMERY,0.1
36125,AL,MONTGOMERY,0.1
36130,AL,MONTGOMERY,0.1
36131,AL,MONTGOMERY,0.1
36132,AL,MONTGOMERY,0.1
36133,AL,MONTGOMERY,0.1
36134,AL,MONTGOMERY,0.1
36201,AL,ANNISTON,0.1
36202,AL,ANNISTON,0.1
36203,AL,OXFORD (CALHOUN CO),0.1
36204,AL,ANNISTON,0.1
36205,AL,ANNISTON,0.1
36206,AL,ANNISTON PJ,0.095
36207,AL,ANNISTON,0.1
36250,AL,CALHOUN COUNTY,0.07
36251,AL,CLAY COUNTY,0.06
36254,AL,CALHOUN COUNTY,0.07
36255,AL,CLAY COUNTY,0.06
36256,AL,NEW SITE,0.09
36257,AL,OXFORD (CALHOUN CO),0.1
36258,AL,CLAY COUNTY,0.06
36260,AL,OXFORD (CALHOUN CO),0.1
36261,AL,HEFLIN,0.09
36262,AL,CLEBURNE COUNTY,0.06
36263,AL,RANDOLPH COUNTY,0.06
36264,AL,CLEBURNE COUNTY,0.06
36265,AL,JACKSONVILLE,0.1
36266,AL,CLAY COUNTY,0.06
36267,AL,CLAY COUNTY,0.06
36268,AL,TALLADEGA COUNTY,0.07
36269,AL,CLEBURNE COUNTY,0.06
